section,title,description
45,Finality of constitution of Tribunal,"No notification of the appropriate Government appointing any person as a Judicial Member or an Administrative Member of a Tribunal shall be called in question in any manner; and no act or proceeding before the Tribunal shall be called in question in any manner on the ground mainly of the existence of any vacancy in, or defect in the constitution of such Tribunal."
46,National Industrial Tribunal,"(1) The Central Government may, by notification, constitute one or more National Industrial Tribunals for the adjudication of industrial disputes which, in the opinion of the Central Government, involve questions of national importance or are of such a nature that industrial establishments situated in more than one State are likely to be interested in, or affected by, such disputes. (2) A National Industrial Tribunal shall consist of two members to be appointed by the Central Government out of whom one shall be a Judicial Member and the other, an Administrative Member. (3) A person shall not be qualified for appointment as the Judicial Member of a National Industrial Tribunal unless he is, or has been, a Judge of a High Court. (4) A person shall not be qualified for appointment as Administrative Member of a National Industrial Tribunal unless, he is or has been Secretary to the Government of India or holding an equivalent rank in the Central Government or State Government, having adequate experience of handling the labour related matters. (5) The Judicial Member shall preside over a National Industrial Tribunal. (6) The procedure of selection of Judicial Member and Administrative Member of the National Industrial Tribunal, their salaries, allowances and other terms and conditions of service shall be such as may be prescribed. (7) The Central Government may provide such number of officers and other staff as it thinks fit in consultation with the Judicial Member of the National Industrial Tribunal which may be required for the due discharge of the functioning of the National Industrial Tribunal."
47,Decision of Tribunal or National Industrial Tribunal,"(1) The decision of a Tribunal or a National Industrial Tribunal, as the case may be, shall be by consensus of the members. (2) If the members of a Tribunal or a National Industrial Tribunal differ in opinion on any point, they shall state the point or points on which they differ, and make a reference to the appropriate Government. (3) The appropriate Government shall, on receipt of a reference made under sub-section (2), appoint a Judicial Member of other Tribunal or a National Industrial Tribunal, who shall hear the point or points himself and such point or points shall be decided according to the majority of the members of a Tribunal or a National Industrial Tribunal, as the case may be, who have first heard the case, including the Judicial Member of the other Tribunal who heard the case thereafter."
48,Disqualifications for members of Tribunal and National Industrial Tribunal,"No person shall be appointed to, or continue in, the office of the member of a Tribunal or National Industrial Tribunal, respectively, if— (a) he is not an independent person; or (b) he has attained the age of sixty-five years. Explanation.—For the purposes of this section ""independent person"" means a person who is unconnected with the industrial dispute referred to a Tribunal or National Industrial Tribunal or with any industry directly affected by such dispute."
49,"Procedure and powers of arbitrator, conciliation officer, Tribunal and National Industrial Tribunal","(1) Subject to the provisions of this Code and the rules that may be made in this behalf, an arbitrator, conciliation officer, Tribunal or National Industrial Tribunal shall follow such procedure as the arbitrator, conciliation officer, Tribunal or National Industrial Tribunal may deem fit. (2) A conciliation officer or an officer authorised in this behalf by the Tribunal or National Industrial Tribunal may, for the purpose of inquiry into any existing or apprehended industrial dispute, after giving reasonable notice, enter the premises occupied by any establishment to which the dispute relates. (3) The conciliation officer, Tribunal and National Industrial Tribunal shall have the same powers as are vested in a civil court under the Code of Civil Procedure,1908 (5 of 1908), when trying a suit, in respect of the following matters, namely: — (a) enforcing the attendance of any person and examining him on oath; (b) compelling the production of documents and material objects; (c) issuing commissions for the examination of witnesses; (d) in respect of such other matters as may be prescribed, and every inquiry or investigation by Tribunal or National Industrial Tribunal, shall be deemed to be a judicial proceeding within the meaning of sections 193 and 228 of the Indian Penal Code (45 of 1860). (4) A conciliation officer may enforce the attendance of any person for the purpose of examination of such person or call for and inspect any document which he has ground for considering to be relevant to the industrial dispute or to be necessary for the purpose of verifying the implementation of any award or carrying out any other duty imposed on him under this Code, and for the aforesaid purposes, the conciliation officer shall have the same powers as are vested in a civil court unde"
50,Powers of Tribunal and National Industrial Tribunal to give appropriate relief in case of discharge or dismissal of worker,"(1) Where the application under sub-section (6) of section 53 relating to an industrial dispute involving discharge or dismissal or otherwise termination of a worker has been made to a Tribunal or has been referred to a National Industrial Tribunal for adjudication, and, in the course of adjudication proceedings, the Tribunal or National Industrial Tribunal, as the case may be, is satisfied that the order of discharge or dismissal or otherwise termination was not justified, it may, by its award, set aside the order of discharge or dismissal or termination and direct reinstatement of the worker on such terms and conditions, if any, as it thinks fit, or give such other relief to the worker including the award of any lesser punishment in lieu of discharge or dismissal or otherwise termination, as the circumstances of the case may require. (2) A Tribunal or National Industrial Tribunal, as the case may be, may, in the interest of justice, grant such interim relief to the worker referred to in sub-section (1) during the pendency of the industrial dispute as the circumstances of the case may require: Provided that in any proceeding under this sub- section the Tribunal or National Industrial Tribunal, as the case may be, shall rely only on the materials on record and shall not take any fresh evidence in relation to the matter."
51,Transfer of pending cases,"(1) On and from the date of commencement of this Code, the cases pending immediately before such commencement— (a) in the Labour Court and the Tribunal constituted under the Industrial Disputes Act, 1947 (14 of 1947), shall be transferred to the Tribunal having corresponding jurisdiction under this Code; (b) in the National Tribunal constituted under the Industrial Disputes Act, 1947 (14 of 1947) shall be transferred to the National Industrial Tribunal having corresponding jurisdiction under this Code. (2) The cases transferred under sub-section (1) to the Tribunal or the National Industrial Tribunal shall be dealt with de novo or from the stage at which they were pending before such transfer, as it may deem fit."
52,Adjustment of services of presiding officers under repealed Act,"A presiding officer of a Labour Court or Tribunal or, as the case may be, National Tribunal, constituted under the Industrial Disputes Act, 1947 (14 of 1947), holding office as such immediately before the commencement of this Code and is qualified to be appointed under this Code, shall be the Judicial Member of the Tribunal or, as the case may be, the Judicial Member of the National Industrial Tribunal, and shall continue as such for the remaining period of his office."
53,Conciliation and adjudication of dispute,"(1) Where any industrial dispute exists or is apprehended or a notice under section 62 has been given, the conciliation officer shall, hold conciliation proceedings in such manner as may be prescribed: Provided that the conciliation officer shall not hold any such proceedings relating to the industrial dispute after two years from the date on which such industrial dispute arose. (2) The conciliation officer shall, for the purpose of bringing about a settlement of the dispute, without delay, investigate the dispute and all matters affecting the merits and right settlement thereof and may do all such things as he thinks fit for the purpose of inducing the parties to come to a fair and amicable settlement of the dispute. (3) If a settlement of the dispute or of any of the matters in dispute is arrived at in the course of the conciliation proceedings, the conciliation officer shall send a report thereof to the appropriate Government or an officer authorised in this behalf by the appropriate Government together with a memorandum of the settlement signed by the parties to the dispute. (4) If no such settlement is arrived at, the conciliation officer shall, as soon as practicable, after the close of the investigation, send to the concerned parties and to the appropriate Government a full report, in the electronic or other form as may be prescribed, setting forth the steps taken by him for ascertaining the facts and circumstances relating to the dispute and for bringing about a settlement thereof, together with a full statement of such facts and circumstances, and the reasons on account of which, in his opinion, a settlement could not be arrived at. (5) Notwithstanding anything contained in sub-section (4), the conciliation officer shall send the report to the concerned parties"
54,Reference to and functions of National Industrial Tribunal,"(1) The Central Government may refer an industrial dispute to a National Industrial Tribunal which in the opinion of such Government involves question of national importance or is of such a nature that industrial establishments situated in more than one State are likely to be interested in, or affected by such industrial dispute. (2) Where an industrial dispute has been referred under sub-section (1) or transferred under section 92 by the Central Government to a National Industrial Tribunal for adjudication, it shall hold its proceedings expeditiously and shall, within the period specified in the order referring or transferring such industrial dispute or further period extended by the Central Government, submit its award to that Government."
55,"Form of award, its communication and commencement","(1) The award of— (i) a Tribunal delivered by a bench consisting of a Judicial Member and an Administrative Member or a single Judicial Member or a single Administrative Member; or (ii) a National Industrial Tribunal, shall be in writing and shall be signed electronically or otherwise, as the case may be, by both the Judicial Member and the Administrative Member or either by the Judicial Member or the Administrative Member by whom the award is delivered. (2) Every arbitration award and every award of Tribunal or National Industrial Tribunal shall be communicated to the parties concerned and the appropriate Government. (3) An award made under this Code shall become enforceable on the expiry of thirty days from the date of its communication under sub-section (2): Provided that— (a) if the appropriate Government is of the opinion in any case, where the award has been given by a Tribunal in relation to an industrial dispute to which it is a party; or (b) if the Central Government is of opinion in any case, where the award has been given by a National Industrial Tribunal, that it will be inexpedient on public grounds affecting national economy or social justice to give effect to the whole or any part of the award, the appropriate Government, or as the case may be, the Central Government may, by notification, declare that the award shall not become enforceable on the expiry of the said period of thirty days. (4) Where any declaration has been made in relation to an award under the proviso to sub-section (3), the appropriate Government or the Central Government, as the case may be, may, within ninety days from the date of communication of the award under sub-section (2), make an order rejecting or modifying the award, and shall, on the first available opportunity, lay the awar"
56,Payment of full wages to worker pending proceedings in higher Courts,"Where in any case, a Tribunal or a National Industrial Tribunal by its award directs reinstatement of any worker and the employer prefers any proceedings against such award in a High Court or the Supreme Court, the employer shall be liable to pay such worker, during the period of pendency of such proceedings in the High Court or the Supreme Court, full wages last drawn by him, inclusive of any maintenance allowance admissible to him under any rule if the worker had not been employed in any establishment during such period and an affidavit by such worker had been filed to that effect in such Court: Provided that where it is proved to the satisfaction of the High Court or the Supreme Court that such worker had been employed and had been receiving adequate remuneration during any such period or part thereof, the Court shall order that no wages shall be payable under this section for such period or part, as the case may be."
57,Persons on whom settlements and awards are binding,"(1) A settlement arrived at by agreement between the employer and worker otherwise than in the course of conciliation proceeding shall be binding on the parties to the agreement. (2) Subject to the provisions of sub-section (3), an arbitration award which has become enforceable shall be binding on the parties to the agreement who referred the dispute to arbitration. (3) A settlement arrived at in the course of conciliation proceedings under this Code or an arbitration or an award of a Tribunal or National Industrial Tribunal which has become enforceable shall be binding on— (a) all parties to the industrial dispute; (b) all other parties summoned to appear in the proceedings as parties to the dispute, unless the arbitrator, Tribunal or National Industrial Tribunal, as the case may be, records the opinion that they were so summoned without proper cause; (c) where a party referred to in clause (a) or clause (b) is an employer, his heirs, successors or assigns in respect of the establishment to which the dispute relates; (d) where a party referred to in clause (a) or clause (b) is composed of workers, all persons who were employed in the establishment or part of the establishment, as the case may be, to which the dispute relates on the date of the dispute and all persons who subsequently become employed in that establishment or part."
58,Period of operation of settlements and awards,"(1) A settlement shall come into operation on such date as is agreed upon by the parties to the dispute, and if no date is agreed upon, on the date on which the memorandum of the settlement is signed by the parties to the dispute. (2) Such settlement shall be binding for such period as is agreed upon by the parties, and if no such period is agreed upon, for a period of six months from the date on which the memorandum of settlement is signed by the parties to the dispute, and shall continue to be binding on the parties after the expiry of the period aforesaid, until the expiry of sixty days from the date on which a notice in writing of an intention to terminate the settlement is given by one of the parties to the other party or parties to the settlement. (3) An award shall, subject to the provisions of this section, remain in operation for a period of one year from the date on which the award becomes enforceable under section 55: Provided that the appropriate Government may reduce the said period and fix such period as it thinks fit: Provided further that the appropriate Government may, before expiry of the said period, extend the period of operation by any period not exceeding one year at a time as it thinks fit so, however, that the total period of operation of any award does not exceed three years from the date on which it came into operation. (4) Where the appropriate Government, whether of its own motion or on the application of any party bound by the award, considers that since the award was made, there has been a material change in the circumstances on which it was based, the appropriate Government may refer the award or part of it to the Tribunal, if the award is made by the Tribunal for decision whether the period of operation should not, by reason of such chang"
59,Recovery of money due from employer,"(1) Where any money is due to a worker from an employer under a settlement or an award or under the provisions of Chapter IX or Chapter X, the worker himself or any other person authorised by him in writing in this behalf, or, in the case of the death of the worker, his assignee or heirs may, without prejudice to any other mode of recovery, make an application to the appropriate Government for the recovery of the money due to him, and if the appropriate Government is satisfied that any money is so due, it shall issue a certificate for that amount to the Collector who shall proceed to recover the same in the same manner as an arrear of land revenue: Provided that every such application shall be made within one year from the date on which the money became due to the worker from the employer: Provided further that any such application may be entertained after the expiry of the said period of one year, if the appropriate Government is satisfied that the applicant had sufficient cause for not making the application within the said period. (2) Where any worker is entitled to receive from the employer any money or any benefit which is capable of being computed in terms of money and if any question arises as to the amount of money due or as to the amount at which such benefit should be computed, then the question may, subject to any rules that may be made under this Code, be decided by such Tribunal as may be specified in this behalf by the appropriate Government within a period not exceeding three months: Provided that where the Tribunal considers it necessary or expedient so to do, it may, for reasons to be recorded in writing, extend such period by such further period as it may think fit. (3) For the purposes of computing the money value of a benefit referred to in sub-secti"
60,Commencement and conclusion of proceedings,"(1) A conciliation proceeding shall be deemed to have commenced on the date on which the first meeting is held by the conciliation officer in an industrial dispute after the receipt of the notice of strike or lock-out by the conciliation officer. (2) A conciliation proceeding shall be deemed to have concluded— (a) where a settlement is arrived at, when a memorandum of the settlement is signed by the parties to the dispute; (b) where no settlement is arrived at, and failure of conciliation is recorded by the conciliation officer; or (c) when a reference is made to a National Industrial Tribunal, under this Code, during the pendency of conciliation proceedings. (3) Proceedings before an arbitrator or a Tribunal or a National Industrial Tribunal under this Code shall be deemed to have commenced on the date of filing application or appeal or on the date of reference of the dispute for arbitration or adjudication, as the case may be, and such proceedings shall be deemed to have concluded on the date on which the award becomes enforceable."
61,Certain matters to be kept confidential,"There shall not be included in any report or award under this Code, any information obtained by a conciliation officer, arbitrator, Tribunal or National Industrial Tribunal, in the course of any investigation or inquiry as to a Trade Union or as to any individual business (whether carried on by a person, firm or company) which is not available otherwise than through the evidence given before such conciliation officer, arbitrator, Tribunal, or National Industrial Tribunal, if the Trade Union, person, firm or company, in question has made a request in writing to the conciliation officer, arbitrator, Tribunal or National Industrial Tribunal, as the case may be, that such information shall be treated as confidential; nor shall such conciliation officer, or the arbitrator, or the presiding officer of a Tribunal or a National Industrial Tribunal or any person present at or concerned in the proceedings disclose any such information without the consent in writing of the secretary of the Trade Union or the person, firm or company in question, as the case may be: Provided that nothing contained in this section shall apply to a disclosure of any such information for the purposes of a prosecution under section 193 of the Indian Penal Code (45 of 1860). CHAPTER VIII STRIKES AND LOCK-OUTS"
62,Prohibition of strikes and lock-outs,"(1) No person employed in an industrial establishment shall go on strike, in breach of contract— (a) without giving to the employer notice of strike, as hereinafter provided, within sixty days before striking; or (b) within fourteen days of giving such notice; or (c) before the expiry of the date of strike specified in any such notice; or (d) during the pendency of any conciliation proceedings before a conciliation officer and seven days after the conclusion of such proceedings; or (e) during the pendency of proceedings before a Tribunal or a National Industrial Tribunal and sixty days, after the conclusion of such proceedings; or (f) during the pendency of arbitration proceedings before an arbitrator and sixty days after the conclusion of such proceedings, where a notification has been issued under sub-section (5) of section 42; or (g) during any period in which a settlement or award is in operation, in respect of any of the matters covered by the settlement or award. (2) No employer of an industrial establishment shall lock-out any of his workers— (a) without giving them notice of lock-out as hereinafter provided, within sixty days before locking-out; or (b) within fourteen days of giving such notice; or (c) before the expiry of the date of lock-out specified in any such notice as aforesaid; or (d) during the pendency of any conciliation proceedings before a conciliation officer and seven days after the conclusion of such proceedings; or (e) during the pendency of proceedings before a Tribunal or a National Industrial Tribunal and sixty days, after the conclusion of such proceedings; or (f) during the pendency of arbitration proceedings before an arbitrator and sixty days after the conclusion of such proceedings, where a notification has been issued under sub-section "
63,Illegal strikes and lock-outs,"(1) A strike or lock-out shall be illegal, if it is— (i) commenced or declared in contravention of section 62; or (ii) continued in contravention of an order made under sub-section (7) of section 42. (2) Where a strike or lock-out in pursuance of an industrial dispute has already commenced and is in existence at the time of the filing of the application relating to such industrial dispute in the Tribunal or of the reference of such industrial dispute to an arbitrator or a National Industrial Tribunal, the continuance of such strike or lock-out shall not be deemed to be illegal, provided that such strike or lock-out was not at its commencement in contravention of the provisions of this Code or the continuance thereof was not prohibited under sub-section (7) of section 42. (3) A lock-out declared in consequence of an illegal strike or a strike declared in consequence of an illegal lock-out shall not be deemed to be illegal."
64,Prohibition of financial aid to illegal strikes or lock-outs,"No person shall knowingly spend or apply any money in direct furtherance or support of any illegal strike or lock-out. CHAPTER IX LAY-OFF, RETRENCHMENT AND CLOSURE"
65,Application of sections 67 to 69,"(1) Sections 67 to 69 (both inclusive) shall not apply to industrial establishments to which Chapter X applies; or (a) to industrial establishments in which less than fifty workers on an average per working day have been employed in the preceding calendar month; or (b) to industrial establishments which are of a seasonal character or in which work is performed intermittently. (2) If a question arises whether an industrial establishment is of a seasonal character or whether work is performed therein only intermittently, the decision of the appropriate Government thereon shall be final. Explanation.—In this section and in sections 67, 68 and 69, industrial establishment shall mean a— (i) factory as defined in clause (m) of section 2 of the Factories Act, 1948 (63 of 1948); or (ii) mine as defined in clause (j) of sub-section (1) of section 2 of the Mines Act, 1952 (35 of 1952); or (iii) plantation as defined in clause (f) of section 2 of the Plantations Labour Act, 1951 (69 of 1951)."
66,Definition of continuous service,"In this Chapter, continuous service in relation to a worker, means the uninterrupted service of such worker, including his service which may be interrupted on account of sickness or authorised leave or an accident or a strike which is not illegal or a lock-out or a cessation of work which is not due to any fault on the part of the worker. Explanation 1.—For the purposes of this section, where a worker is not in continuous service for a period of one year or six months, he shall be deemed to be in continuous service under an employer— (a) for a period of one year, if the worker during a period of twelve months preceding the date with reference to which calculation is to be made has actually worked under the employer for not less than— (i) one hundred and ninety days in the case of a worker employed below ground in a mine; and (ii) two hundred and forty days, in any other case; (b) for a period of six months, if the worker during a period of six months preceding the date with reference to which calculation is to be made has actually worked under the employer for not less than— (i) ninety-five days in the case of worker employed below ground in a mine; and (ii) one hundred and twenty days, in any other case. Explanation 2.—For the purposes of Explanation 1, the number of days on which a worker has actually worked under an employer shall include the days on which— (i) he has been laid-off under an agreement or as permitted by or under this Code or any other law applicable to the industrial establishment for the time being in force; or (ii) he has been on leave on full wages earned in the previous years; or (iii) he has been absent due to temporary disablement caused by accident arising out of and in the course of his employment; or (iv) in the case of a female, she has been"
67,"Rights of workers laid-off for compensation, etc","Whenever a worker (other than a badli worker or a casual worker) whose name is borne on the muster rolls of an industrial establishment and who has completed not less than one year of continuous service under an employer is laid-off, whether continuously or intermittently, he shall be paid by the employer for all days during which he is so laid- off, except for such weekly holidays as may intervene, compensation which shall be equal to fifty per cent. of the total of the basic wages and dearness allowance that would have been payable to him, had he not been so laid-off: Provided that if during any period of twelve months, a worker is so laid-off for more than forty-five days, no such compensation shall be payable in respect of any period of the lay-off after the expiry of the first forty-five days, if there is an agreement to that effect between the worker and the employer: Provided further that it shall be lawful for the employer in any case falling within the foregoing proviso to retrench the worker in accordance with the provisions contained in section 70 at any time after the expiry of the first forty-five days of the lay-off and when he does so, any compensation paid to the worker for having been laid-off during the preceding twelve months may be set off against the compensation payable for retrenchment. Explanation.— For the purposes of this section “badli worker” means a worker who is employed in an industrial establishment in the place of another worker whose name is borne on the muster rolls of the establishment, but shall cease to be regarded as such, if he has completed one year of continuous service in the establishment."
68,Duty of an employer to maintain muster rolls of workers,"Notwithstanding that workers in any industrial establishment have been laid-off. it shall be the duty of every employer to maintain for the purposes of this Chapter a muster roll, and to provide for the making of entries therein by workers who may present themselves for work at the establishment at the appointed time during normal working hours."
69,Workers not entitled for compensation in certain cases,"No compensation shall be paid to a worker who has been laid-off— (i) if he refuses to accept any alternative employment in the same establishment from which he has been laid-off, or in any other establishment belonging to the same employer situate in the same town or village or situate within a radius of eight kilometres from the establishment to which he belongs, if, in the opinion of the employer, such alternative employment does not call for any special skill or previous experience and can be done by the worker, provided that the wages which would normally have been paid to the worker are offered for the alternative employment also; (ii) if he does not present himself for work at the establishment at the appointed time during normal working hours at least once a day; (iii) if such laying-off is due to a strike or slowing-down of production on the part of workers in another part of the establishment."
70,Conditions precedent to retrenchment of workers,"No worker employed in any industry who has been in continuous service for not less than one year under an employer shall be retrenched by that employer until— (a) the worker has been given one month’s notice in writing indicating the reasons for retrenchment and the period of notice has expired, or the worker has been paid in lieu of such notice, wages for the period of the notice; (b) the worker has been paid, at the time of retrenchment, compensation which shall be equivalent to fifteen days' average pay, or average pay of such days as may be notified by the appropriate Government, for every completed year of continuous service or any part thereof in excess of six months; and (c) notice in such manner as may be prescribed is served on the appropriate Government or such authority as may be specified by the appropriate Government by notification."
71,Procedure for retrenchment,"Where any worker in an industrial establishment who is a citizen of India, is to be retrenched and he belongs to a particular category of workers in that establishment, then, in the absence of any agreement between the employer and the worker in this behalf, the employer shall ordinarily retrench the worker who was the last person to be employed in that category, unless for reasons to be recorded the employer retrenches any other worker."
72,Re-employment of retrenched worker,"Where any worker is retrenched and the employer proposes to take into his employment any person within one year of such retrenchment, he shall, in such manner as may be prescribed, give an opportunity to the retrenched workers who are citizens of India to offer themselves for re-employment and such retrenched workers who offer themselves for re- employment shall have preference over other persons."
73,Compensation to workers in case of transfer of establishment,"Where the ownership or management of an establishment is transferred, whether by agreement or by operation of law, from the employer in relation to that establishment to a new employer, every worker who has been in continuous service for not less than one year in that establishment immediately before such transfer shall be entitled to notice and compensation in accordance with the provisions of section 70 as if the worker had been retrenched: Provided that nothing in this section shall apply to a worker in any case where there has been a change of employers by reason of the transfer, if— (a) the service of the worker has not been interrupted by such transfer; (b) the terms and conditions of service applicable to the worker after such transfer are not in any way less favourable to the worker than those applicable to them immediately before the transfer; and (c) the new employer is, under the terms of such transfer or otherwise, legally liable to pay to the worker, in the event of his retrenchment, compensation on the basis that his service has been continuous and has not been interrupted by the transfer."
74,Sixty days’ notice to be given of intention to close down any undertaking,"(1) An employer who intends to close down an undertaking shall serve, at least sixty days before the date on which the intended closure is to become effective, a notice, in such manner as may be prescribed, on the appropriate Government stating clearly the reasons for the intended closure of the undertaking: Provided that nothing in this section shall apply to— (i) an industrial establishment in which less than fifty workers are employed or were employed on any day in the preceding twelve months; (ii) an industrial establishment set up for the construction of buildings, bridges, roads, canals, dams or for other construction work or project. (2) Notwithstanding anything contained in sub-section (1), the appropriate Government may, if it is satisfied that owing to such exceptional circumstances as accident in the undertaking or death of the employer or an extraordinary situation such as natural calamities or the like, it is necessary so to do, by order, direct that the provisions of sub-section (1) shall not apply in relation to such undertaking for such period, as may be specified in the order."
75,Compensation to workers in case of closing down of undertakings,"(1) Where an establishment is closed down for any reason whatsoever, every worker who has been in continuous service for not less than one year in that undertaking immediately before such closure shall, subject to the provisions of sub-section (2), be entitled to notice and compensation in accordance with the provisions of section 70, as if the worker had been retrenched: Provided that where the undertaking is closed down on account of unavoidable circumstances beyond the control of the employer, the compensation to be paid to the worker under clause (b) of section 70, shall not exceed his average pay for three months. Explanation.—An industrial establishment which is closed down by reason merely of— (i) financial difficulties (including financial losses); or (ii) accumulation of un-disposed stocks; or (iii) the expiry of the period of the lease or license granted to it; or (iv) in case where the undertaking is engaged in mining operations, exhaustion of the minerals in the area in which operations are carried on, shall not be deemed to be closed down on account of unavoidable circumstances beyond the control of the employer within the meaning of the proviso to this sub-section. (2) Notwithstanding anything contained in sub-section (1), where an undertaking engaged in mining operations is closed down by reason merely of exhaustion of the minerals in the area in which such operations are carried on, no worker referred to in that sub-section shall be entitled to any notice or compensation in accordance with the provisions of section 70, if— (a) the employer provides the worker, at the place located within a radius of twenty kilometres from such undertaking engaged in mining operation is closed down, with alternative employment with effect from the date of closure at the s"
76,Effect of laws inconsistent with this Chapter,"(1) The provisions of this Chapter shall have effect notwithstanding anything inconsistent therewith contained in any other law including standing orders made under Chapter IV: Provided that where under the provisions of any other Act or rules, orders or notifications issued thereunder or under any standing orders or any award, contract or service or otherwise, a worker is entitled to benefits in respect of any matter which are more favourable to him than those to which he would be entitled under this Code, the worker shall continue to be entitled to the more favourable benefits in respect of that matter, notwithstanding that he receives benefits in respect of other matters under this Chapter. (2) For the removal of doubts, it is hereby declared that nothing contained in this Chapter shall be deemed to affect the provisions of any other law for the time being in force in any State in so far as that law provides for the settlement of industrial disputes, but the rights and liabilities of employers and workers in so far as they relate to lay-off and retrenchment shall be determined in accordance with the provisions of this Chapter. CHAPTER X SPECIAL PROVISIONS RELATING TO LAY-OFF, RETRENCHMENT AND CLOSURE IN CERTAIN ESTABLISHMENTS"
77,Application of this Chapter,"(1) The provisions of this Chapter shall apply to an industrial establishment (not being an establishment of a seasonal character or in which work is performed only intermittently) in which not less than three hundred workers, or such higher number of workers as may be notified by the appropriate Government, were employed on an average per working day in the preceding twelve months. (2) If a question arises whether an industrial establishment is of a seasonal character or whether work is performed therein only intermittently, the decision of the appropriate Government thereon shall be final. (3) For the purposes of this Chapter, “industrial establishment” means— (i) a factory as defined in clause (m) of section 2 of the Factories Act, 1948 (63 of 1948); (ii) a mine as defined in clause (j) of sub-section (1) of section 2 of the Mines Act, 1952 (35 of 1952); or (iii) a plantation as defined in clause (f) of section 2 of the Plantations Labour Act, 1951 (69 of 1951)."
78,Prohibition of lay-off,"(1) No worker (other than a badli worker or a casual worker) whose name is borne on the muster rolls of an industrial establishment to which this Chapter applies shall be laid-off by his employer except with the prior permission of the appropriate Government, obtained on an application made in this behalf, unless such lay-off is due to shortage of power, natural calamity, and in the case of a mine, such lay-off is due to fire, flood, excess of inflammable gas or explosion. (2) An application for permission under sub-section (1) shall be made by the employer electronically or otherwise in the prescribed manner stating clearly the reasons for the intended lay-off and a copy of such application shall also be served simultaneously on the workers concerned in such manner as may be prescribed. (3) Where the workers (other than badli workers or casual workers) of industrial establishment, being a mine, have been laid-off under sub-section (1) for reasons of fire, flood or excess of inflammable gas or explosion, the employer, in relation to such establishment, shall, within a period of thirty days from the date of commencement of such lay-off, apply, in such manner as may be prescribed, to the appropriate Government for permission to continue the lay-off. (4) Where an application for permission under sub-section (1) or sub-section (3) has been made, the appropriate Government, after making such enquiry as it thinks fit and after giving a reasonable opportunity of being heard to the employer, the workers concerned and the persons interested in such lay-off, may, having regard to the genuineness and adequacy of the reasons for such lay-off, the interests of the workers and all other relevant factors, by order and for reasons to be recorded in writing, grant or refuse to grant suc"
79,Conditions precedent to retrenchment of workers to which Chapter X applies,"(1) No worker employed in any industrial establishment to which this Chapter applies, who has been in continuous service for not less than one year under an employer shall be retrenched by that employer until,— (a) the worker has been given three month’s notice in writing indicating the reasons for retrenchment and the period of notice has expired, or the worker has been paid in lieu of such notice, wages for the period of the notice; and (b) the prior permission of the appropriate Government has been obtained on an application made in this behalf. (2) An application for permission under sub-section (1) shall be made by the employer electronically or otherwise in the prescribed manner stating clearly the reasons for the intended retrenchment and a copy of such application shall also be served simultaneously on the workers concerned in such manner as may be prescribed. (3) Where an application for permission under sub-section (1) has been made, the appropriate Government, after making such enquiry as it thinks fit and after giving a reasonable opportunity of being heard to the employer, the workers concerned and the persons interested in such retrenchment, may, having regard to the genuineness and adequacy of the reasons stated by the employer, the interests of the workers and all other relevant factors, by order and for reasons to be recorded in writing, grant or refuse to grant such permission and a copy of such order shall be communicated to the employer and the workers. (4) Where an application for permission has been made under sub-section (1) and the appropriate Government does not communicate the order granting or refusing to grant permission to the employer within a period of sixty days from the date on which such application is made, the permission applied for s"
80,Procedure for closing down an industrial establishment,"(1) An employer who intends to close down an undertaking of an industrial establishment to which this Chapter applies shall, electronically or otherwise, apply in such manner as may be prescribed, for prior permission at least ninety days before the date on which the intended closure is to become effective, to the appropriate Government, stating clearly the reasons for the intended closure of the undertaking and a copy of such application shall also be served simultaneously on the representatives of the workers in such manner as may be prescribed: Provided that nothing in this sub-section shall apply to an undertaking set up for the construction of buildings, bridges, roads, canals, dams or for other construction work. (2) Where an application for permission has been made under sub-section (1), the appropriate Government, after making such enquiry as it thinks fit and after giving a reasonable opportunity of being heard to the employer, the workers and the persons interested in such closure may, having regard to the genuineness and adequacy of the reasons stated by the employer, the interests of the general public and all other relevant factors, by order and for reasons to be recorded in writing, grant or refuse to grant such permission and a copy of such order shall be communicated to the employer and the workers. (3) Where an application has been made under sub-section (1) and the appropriate Government does not communicate the order granting or refusing to grant permission to the employer within a period of sixty days from the date on which such application is made, the permission applied for shall be deemed to have been granted as applied for on the expiration of the said period of sixty days and the application shall be deemed to have been disposed of accordingly b"
81,Duty of an employer to maintain muster rolls of workers,"Notwithstanding that workers in any industrial establishment have been laid-off, it shall be the duty of every employer to maintain for the purposes of this Chapter a muster roll, and to provide for the making of entries therein by workers who may present themselves for work at the establishment at the appointed time during normal working hours."
82,Certain provisions of Chapter IX to apply to industrial establishment to which this Chapter applies,"The provisions of sections 66, 71, 72, 73 and section 76 in Chapter IX shall, so far as may be, apply also in relation to an industrial establishment to which the provisions of this Chapter apply. CHAPTER XI WORKER RE-SKILLING FUND"
